s;Players
17.11.2017 00:00;7
18.11.2017 00:00;9
19.11.2017 00:00;13
20.11.2017 00:00;11
21.11.2017 00:00;8
22.11.2017 00:00;9
23.11.2017 00:00;9
24.11.2017 00:00;6
25.11.2017 00:00;13
26.11.2017 00:00;7
27.11.2017 00:00;11
28.11.2017 00:00;9
29.11.2017 00:00;10
30.11.2017 00:00;4
01.12.2017 00:00;9
02.12.2017 00:00;8
03.12.2017 00:00;8
04.12.2017 00:00;7
05.12.2017 00:00;8
06.12.2017 00:00;5
07.12.2017 00:00;9
08.12.2017 00:00;8
09.12.2017 00:00;9
10.12.2017 00:00;4
11.12.2017 00:00;5
12.12.2017 00:00;5
13.12.2017 00:00;5
14.12.2017 00:00;2
15.12.2017 00:00;7
16.12.2017 00:00;3
17.12.2017 00:00;3
18.12.2017 00:00;5
19.12.2017 00:00;5
20.12.2017 00:00;7
21.12.2017 00:00;5
22.12.2017 00:00;5
23.12.2017 00:00;4
24.12.2017 00:00;2
25.12.2017 00:00;4
26.12.2017 00:00;2
27.12.2017 00:00;5
28.12.2017 00:00;4
29.12.2017 00:00;2
30.12.2017 00:00;1
31.12.2017 00:00;3
01.01.2018 00:00;4
02.01.2018 00:00;4
03.01.2018 00:00;6
04.01.2018 00:00;4
05.01.2018 00:00;2
06.01.2018 00:00;1
07.01.2018 00:00;4
08.01.2018 00:00;7
09.01.2018 00:00;5
10.01.2018 00:00;4
11.01.2018 00:00;4
12.01.2018 00:00;3
13.01.2018 00:00;4
14.01.2018 00:00;5
15.01.2018 00:00;5
16.01.2018 00:00;5
17.01.2018 00:00;4
18.01.2018 00:00;6
19.01.2018 00:00;4
20.01.2018 00:00;3
21.01.2018 00:00;1
22.01.2018 00:00;6
23.01.2018 00:00;5
24.01.2018 00:00;4
25.01.2018 00:00;4
26.01.2018 00:00;4
27.01.2018 00:00;3
28.01.2018 00:00;1
29.01.2018 00:00;7
30.01.2018 00:00;8
31.01.2018 00:00;6
01.02.2018 00:00;8
02.02.2018 00:00;8
03.02.2018 00:00;3
04.02.2018 00:00;3
05.02.2018 00:00;6
06.02.2018 00:00;8
07.02.2018 00:00;11
08.02.2018 00:00;12
09.02.2018 00:00;9
10.02.2018 00:00;7
11.02.2018 00:00;6
12.02.2018 00:00;5
13.02.2018 00:00;8
14.02.2018 00:00;17
15.02.2018 00:00;15
16.02.2018 00:00;18
17.02.2018 00:00;20
18.02.2018 00:00;15
19.02.2018 00:00;15
20.02.2018 00:00;13
21.02.2018 00:00;14
22.02.2018 00:00;10
23.02.2018 00:00;22
24.02.2018 00:00;15
25.02.2018 00:00;17
26.02.2018 00:00;18
27.02.2018 00:00;48
28.02.2018 00:00;2689
01.03.2018 00:00;4067
02.03.2018 00:00;3867
03.03.2018 00:00;4157
04.03.2018 00:00;4295
05.03.2018 00:00;3087
06.03.2018 00:00;2451
07.03.2018 00:00;2396
08.03.2018 00:00;1962
09.03.2018 00:00;2211
10.03.2018 00:00;2366
11.03.2018 00:00;2278
12.03.2018 00:00;1756
13.03.2018 00:00;1573
14.03.2018 00:00;1473
15.03.2018 00:00;1246
16.03.2018 00:00;1530
17.03.2018 00:00;1648
18.03.2018 00:00;1628
19.03.2018 00:00;1173
20.03.2018 00:00;1201
21.03.2018 00:00;1134
22.03.2018 00:00;1047
23.03.2018 00:00;1258
24.03.2018 00:00;1291
25.03.2018 00:00;1379
26.03.2018 00:00;1072
27.03.2018 00:00;843
28.03.2018 00:00;774
29.03.2018 00:00;732
